suburb,incident_date,injuries,offender,victim
Ocean Throughway,2015-01-04,no injuries,??,Dog
Ocean Grove,2015-01-06,bite marks,Jack Russell,Person/dog
Grovedale,2015-01-07,bites,??,Dog
Norlane,2015-01-07,bites,??,Cat
Corio,2015-01-08,bites,??,Dog
North Geelong ,2015-01-12,??,??,Person 
Drysdale,2015-01-22,"death, bites",Sib Husky,Cat/ sheep
Newtown,2015-01-28,bites,Mastiff,Dog
North Geelong,2015-01-29,bites,Staf, Dog
St Leonards,2015-01-30,Bites,Great Dane,Dog
Grovedale,2015-01-30,bite on ear,POMX,Dog
Portarlington,2015-01-09,Bite,Staffy,Dog/Child
Corio,2015-01-17,??,??,??
Bell Post Hill,2015-01-27,??,American Staffordshire,Dog
Ocean Grove,2015-01-31,pelvic fracture and bites,Labradoodle,dog/person
Ocean Grove Public,2015-01-26,bites,Maltese x,Dog
Point Lonsdale,2015-01-11,bites,Jack Russell,person
Point Lonsdale,2015-01-11,Bite,Jack Russell,Person
Clifton Springs,2015-02-02,death,no specified,Kitten
Grovedale,2015-02-04,bites,Not specified on rfs,dogs
NEWTOWN,2015-02-04,bite,Hungarian Vizsla,Person 
Newtown,2015-02-07,bite,Bull Terrier,person dog
Marshall,2015-02-17,death,??,sheeps
Drysdale,2015-02-19,??,??,Dog
Curlewis,2015-02-20,injured,??,ewe
Ocean Grove,2015-02-19,not specified,??,Dog
BELL POST HILL,2015-02-14, death,Dalmatian,dog
lara,2015-01-28,not specified,Alaskan/Malamute,cat
Indented Head,2015-02-11,bite,"Staghound, Mastiff/Cross",person
Curlewis,2015-03-02,?,not attached to RFS,Dog
Moolap,2015-03-09,puncture wound,Rottweiler,Dog
Geelong,2015-03-15,Death of Dog,Blue Heeler,Dog
Grovedale,2015-03-15,Not specified,Pomeranian/Cross,Dog
South Geelong,2015-03-19,Dog was admitted for surgery,German Shepherd,Dog
Whittington,2015-03-22,?,?,Dog
Norlane,2015-03-23,Death,?,Cat
Newtown,2015-03-24,Bite,Shitzhu,Person
Leopold,2015-03-19,"Broken Jaw, Punctured leg",Staffy,Dog
Bell Park,2015-03-12,?,?,Dog
Lara,2015-03-31,?,?,Dog
Leopold,2015-03-31,death?,?,Dog
Ocean Grove,2015-03-31,Puncture,?,Dog
Belmont,2015-04-01,puncture ,kelpie x,Dog/Person
Marshall,2015-04-01,?,?,dog 
Corio,2015-04-02,?,Pitbull like,Dog
Ocean Grove,2015-04-07,?,Staffy,Dog
Ocean Grove,2015-04-07,torn clothing,Lab x,Person
Armstrong Creek,2015-04-09,death,bulldog x,Sheeps
Lara,2015-04-09,?,bull terrier ,sheeps
Belmont,2015-04-15,?,?,Person
North Geelong,2015-04-17,?,?,Child
Thomson,2015-04-20,?,?,Chickens
Leopold,2015-04-20,puncture wounds,?,Dog
Leopold,2015-04-22,?,?,Dog
LEOPOLD,2015-04-21,?,Staffy,Dog
Drysdale,2015-04-24,bite  on right leg,Blue Heeler x,Person
Lara,2015-04-01,death,2 pitbulls& whippet,cat
Belmont,2015-04-14,bite,poodle x Schnauzer ,People
Norlane,2015-04-25,death,Pitbull x,Cat
Wallington,2015-04-26,death?,Lab  ,Chooks
Herne Hill,2015-05-01,Bite Mark,?,Dog
Corio,2015-05-02,death,"Husky, German Shepherd",Chooks
Newtown,2015-05-04,Bite Mark,Blue Heeler,Person
Highton,2015-05-06,Bite Mark,Blue Heeler,Dog
Bell park,2014-01-02,,Samoyed,Dog
Lara,2014-01-23,Death,Great Dane,Cat
Bell Post Hill,,Bite,Jack Russell,Person
Ocean Grove,,Dislocated leg & HipBite,Staffy,DogPerson
Thomson,,Bite,Heeler,Person
Lovely Banks,2014-01-20,Bite,Jack Russell,Person
St Leonards,2014-01-05,Torn Nose,Kelpie,Person
Bell Park,2014-02-14,,St Bernard,Dog
Geelong,2014-02-10,Bite,Staffy,Dog 
Lovely Banks,2014-02-28,Death,Rottweiler,Goat
Lara,2014-02-05,Death,StaffyJack Russell,Chicken
Wandana Heights,2014-02-25,Severe tearing,Blue Heeler,Person
